row,SID,ip,firstName,# Users,Trials per user,domain,experimentName,levelName,Numberline,currentLevelNo,totalTrials,currentMode,currentQuestion,Opportunity Count,Temp(Opp),answerByUser,answerDec,Hit Rate,hitType,currentTrialStartTime,currentTrialEndTime,currentAccuracy,avgAccuracy,curReactionTime,totalTime,itemsPlayed,timeLimit,avgTime,bestTime,currentStarCount,totalStarCount,score,fireType,sound,verInfo
1021160,75,170.185.142.19 ,1830,1,4,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,8,1,8user18300-10,(756.9 # 504.2),7.8916,1,Perfect Hit!!,Wed Sep 21 19:00:27 2011 UTC,Wed Sep 21 19:00:38 2011 UTC,98.92,98.92,11.02,30.797 Secs,1,60,11.02,11.02,1,1,0,CLICK,ON,BSNL v2.1 UCLA
1021177,75,170.185.142.19 ,1830,0,4,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,5,1,5user18300-10,(522.65 # 509.1),5.1355,1,Perfect Hit!!,Wed Sep 21 19:00:43 2011 UTC,Wed Sep 21 19:00:47 2011 UTC,98.65,98.79,4.078,39.687 Secs,2,60,7.549,4.078,2,3,0,CLICK,ON,BSNL v2.1 UCLA
1021196,75,170.185.142.19 ,1830,0,4,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,1,1,1user18300-10,(157.75 # 502.95),0.8363,1,Perfect Hit!!,Wed Sep 21 19:00:51 2011 UTC,Wed Sep 21 19:00:57 2011 UTC,98.36,98.65,5.844,50.344 Secs,3,60,6.980666667,4.078,3,6,0,CLICK,ON,BSNL v2.1 UCLA
1021215,75,170.185.142.19 ,1830,0,4,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,3,1,3user18300-10,(287.2 # 500.5),2.3675,0,Near Miss!!,Wed Sep 21 19:01:02 2011 UTC,Wed Sep 21 19:01:08 2011 UTC,93.68,97.41,6.058,61.232 Secs,4,60,6.75,4.078,3,9,0,CLICK,ON,BSNL v2.1 UCLA
1009151,54,170.185.142.19 ,5101,1,110,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,8,1,8user51010-10,(706.5 # 513.6),7.3027,0,Near Miss!!,Tue Sep 20 14:18:16 2011 UTC,Tue Sep 20 14:18:24 2011 UTC,93.03,93.03,8.03,36.8 Secs,1,60,8.03,8.03,0,0,0,CLICK,ON,BSNL v2.1 UCLA
1009164,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,1,1,1user51010-10,(192.9 # 467.8),1.2485,1,Perfect Hit!!,Tue Sep 20 14:18:29 2011 UTC,Tue Sep 20 14:18:32 2011 UTC,97.52,95.28,2.309,43.913 Secs,2,60,5.1695,2.309,1,1,0,CLICK,ON,BSNL v2.1 UCLA
1009180,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,5,1,5user51010-10,(548.55 # 460.55),5.4417,1,Partial Hit!!,Tue Sep 20 14:18:36 2011 UTC,Tue Sep 20 14:18:41 2011 UTC,95.58,95.38,4.257,53.093 Secs,3,60,4.865333333,2.309,1,2,0,CLICK,ON,BSNL v2.1 UCLA
1009195,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole1_0_10,0-10,1,4,sub,3,1,3user51010-10,(333.95 # 481.05),2.9093,1,Perfect Hit!!,Tue Sep 20 14:18:46 2011 UTC,Tue Sep 20 14:18:51 2011 UTC,99.09,96.31,5.752,63.729 Secs,4,60,5.087,2.309,2,4,0,CLICK,ON,BSNL v2.1 UCLA
1009218,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole2_0_20,0-20,2,4,sub,15,1,15user51010-20,(639 # 488.3),13.0271,0,Miss!!,Tue Sep 20 14:19:02 2011 UTC,Tue Sep 20 14:19:05 2011 UTC,90.14,90.14,2.794,77.404 Secs,5,60,2.794,2.794,0,6,0,CLICK,ON,BSNL v2.1 UCLA
1009223,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole2_0_20,0-20,2,4,sub,18,1,18user51010-20,(788.5 # 485.9),16.5371,0,Miss!!,Tue Sep 20 14:19:10 2011 UTC,Tue Sep 20 14:19:12 2011 UTC,92.69,91.42,2.233,84.496 Secs,6,60,2.5135,2.233,0,6,0,CLICK,ON,BSNL v2.1 UCLA
1009244,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole2_0_20,0-20,2,4,sub,3,1,3user51010-20,(262.8 # 473.8),4.1461,0,Near Miss!!,Tue Sep 20 14:19:17 2011 UTC,Tue Sep 20 14:19:23 2011 UTC,94.27,92.37,5.929,95.319 Secs,7,60,3.652,2.233,0,6,0,CLICK,ON,BSNL v2.1 UCLA
1009257,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole2_0_20,0-20,2,4,sub,10,1,10user51010-20,(520.85 # 485.9),10.2238,1,Perfect Hit!!,Tue Sep 20 14:19:28 2011 UTC,Tue Sep 20 14:19:31 2011 UTC,98.88,94,3.375,103.576 Secs,8,60,3.58275,2.233,1,7,0,CLICK,ON,BSNL v2.1 UCLA
1009282,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole3_0_50,0-50,3,4,sub,40,1,40user51010-50,(770.4 # 475.05),40.2827,1,Perfect Hit!!,Tue Sep 20 14:19:42 2011 UTC,Tue Sep 20 14:19:45 2011 UTC,99.43,99.43,3.091,117.524 Secs,9,60,3.091,3.091,1,9,0,CLICK,ON,BSNL v2.1 UCLA
1009294,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole3_0_50,0-50,3,4,sub,25,1,25user51010-50,(508.75 # 485.9),24.8528,1,Perfect Hit!!,Tue Sep 20 14:19:50 2011 UTC,Tue Sep 20 14:19:53 2011 UTC,99.71,99.57,3.346,125.738 Secs,10,60,3.2185,3.091,2,11,0,CLICK,ON,BSNL v2.1 UCLA
1009306,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole3_0_50,0-50,3,4,sub,10,1,10user51010-50,(380.95 # 487.1),17.3145,0,Miss!!,Tue Sep 20 14:19:58 2011 UTC,Tue Sep 20 14:20:03 2011 UTC,85.37,94.84,4.724,135.353 Secs,11,60,3.720333333,3.091,2,13,0,CLICK,ON,BSNL v2.1 UCLA
1009320,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole3_0_50,0-50,3,4,sub,5,1,5user51010-50,(192.9 # 477.45),6.2426,1,Perfect Hit!!,Tue Sep 20 14:20:08 2011 UTC,Tue Sep 20 14:20:11 2011 UTC,97.51,95.51,2.954,143.158 Secs,12,60,3.52875,2.954,3,16,0,CLICK,ON,BSNL v2.1 UCLA
1009348,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole4_0_100,0-100,4,4,sub,98,1,98user51010-100,(854.8 # 487.1),90.4594,0,Miss!!,Tue Sep 20 14:20:22 2011 UTC,Tue Sep 20 14:20:27 2011 UTC,92.46,92.46,5.09,159.175 Secs,13,60,5.09,5.09,0,19,0,CLICK,ON,BSNL v2.1 UCLA
1009362,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole4_0_100,0-100,4,4,sub,13,1,13user51010-100,(182.05 # 469),11.3074,1,Perfect Hit!!,Tue Sep 20 14:20:32 2011 UTC,Tue Sep 20 14:20:36 2011 UTC,98.31,95.39,4.161,168.191 Secs,14,60,4.6255,4.161,1,20,0,CLICK,ON,BSNL v2.1 UCLA
1009376,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole4_0_100,0-100,4,4,sub,75,1,75user51010-100,(719.75 # 482.25),74.5583,1,Perfect Hit!!,Tue Sep 20 14:20:41 2011 UTC,Tue Sep 20 14:20:44 2011 UTC,99.56,96.78,3.555,176.547 Secs,15,60,4.268666667,3.555,2,22,0,CLICK,ON,BSNL v2.1 UCLA
1009391,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole4_0_100,0-100,4,4,sub,36,1,36user51010-100,(405.1 # 495.5),37.5736,1,Perfect Hit!!,Tue Sep 20 14:20:49 2011 UTC,Tue Sep 20 14:20:54 2011 UTC,98.43,97.19,4.908,186.39 Secs,16,60,4.4285,3.555,3,25,0,CLICK,ON,BSNL v2.1 UCLA
1009410,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole5_0_25,0-25,5,4,sub,3,1,3user51010-25,(165.15 # 483.45),2.3263,1,Perfect Hit!!,Tue Sep 20 14:21:05 2011 UTC,Tue Sep 20 14:21:08 2011 UTC,97.31,97.31,2.846,200.06 Secs,17,60,2.846,2.846,1,29,0,CLICK,ON,BSNL v2.1 UCLA
1009423,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole5_0_25,0-25,5,4,sub,16,1,16user51010-25,(374.95 # 496.75),8.4806,0,Miss!!,Tue Sep 20 14:21:13 2011 UTC,Tue Sep 20 14:21:16 2011 UTC,69.92,83.62,3.006,207.912 Secs,18,60,2.926,2.846,1,30,0,CLICK,ON,BSNL v2.1 UCLA
1009434,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole5_0_25,0-25,5,4,sub,21,1,21user51010-25,(817.4 # 491.9),21.5253,1,Perfect Hit!!,Tue Sep 20 14:21:20 2011 UTC,Tue Sep 20 14:21:23 2011 UTC,97.9,88.38,3.076,215.877 Secs,19,60,2.976,2.846,2,32,0,CLICK,ON,BSNL v2.1 UCLA
1009448,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole5_0_25,0-25,5,4,sub,10,1,10user51010-25,(476.2 # 499.15),11.4841,0,Near Miss!!,Tue Sep 20 14:21:28 2011 UTC,Tue Sep 20 14:21:33 2011 UTC,94.06,89.8,4.988,225.781 Secs,20,60,3.479,2.846,2,34,0,CLICK,ON,BSNL v2.1 UCLA
1009474,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole6_0_50,0-50,6,4,sub,22,1,22user51010-50,(469 # 479.85),22.5559,1,Perfect Hit!!,Tue Sep 20 14:21:44 2011 UTC,Tue Sep 20 14:21:48 2011 UTC,98.89,98.89,4.042,240.667 Secs,21,60,4.042,4.042,1,37,0,CLICK,ON,BSNL v2.1 UCLA
1009490,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole6_0_50,0-50,6,4,sub,2,1,2user51010-50,(119.35 # 490.7),1.9435,1,Perfect Hit!!,Tue Sep 20 14:21:53 2011 UTC,Tue Sep 20 14:21:59 2011 UTC,99.89,99.39,5.674,251.2 Secs,22,60,4.858,4.042,2,39,0,CLICK,ON,BSNL v2.1 UCLA
1009504,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole6_0_50,0-50,6,4,sub,48,1,48user51010-50,(886.15 # 505.15),47.1143,1,Perfect Hit!!,Tue Sep 20 14:22:04 2011 UTC,Tue Sep 20 14:22:07 2011 UTC,98.23,99,3.485,259.523 Secs,23,60,4.400333333,3.485,3,42,0,CLICK,ON,BSNL v2.1 UCLA
1009518,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole6_0_50,0-50,6,4,sub,37,1,37user51010-50,(663.1 # 487.1),33.9812,0,Near Miss!!,Tue Sep 20 14:22:12 2011 UTC,Tue Sep 20 14:22:16 2011 UTC,93.96,97.74,3.525,267.926 Secs,24,60,4.1815,3.485,3,45,0,CLICK,ON,BSNL v2.1 UCLA
1009544,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole7_0_100,0-100,7,4,sub,48,1,48user51010-100,(508.75 # 497.95),49.7055,1,Perfect Hit!!,Tue Sep 20 14:22:26 2011 UTC,Tue Sep 20 14:22:32 2011 UTC,98.29,98.29,5.141,283.968 Secs,25,60,5.141,5.141,1,49,0,CLICK,ON,BSNL v2.1 UCLA
1009559,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole7_0_100,0-100,7,4,sub,28,1,28user51010-100,(267.65 # 500.35),21.3192,0,Near Miss!!,Tue Sep 20 14:22:36 2011 UTC,Tue Sep 20 14:22:39 2011 UTC,93.32,95.81,2.302,291.106 Secs,26,60,3.7215,2.302,1,50,0,CLICK,ON,BSNL v2.1 UCLA
1009569,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole7_0_100,0-100,7,4,sub,8,1,8user51010-100,(141.05 # 501.55),6.4782,1,Perfect Hit!!,Tue Sep 20 14:22:44 2011 UTC,Tue Sep 20 14:22:47 2011 UTC,98.48,96.7,3.809,299.817 Secs,27,60,3.750666667,2.302,2,52,0,CLICK,ON,BSNL v2.1 UCLA
1009585,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole7_0_100,0-100,7,4,sub,88,1,88user51010-100,(753.5 # 514.8),78.563,0,Miss!!,Tue Sep 20 14:22:52 2011 UTC,Tue Sep 20 14:22:55 2011 UTC,90.56,95.17,2.513,307.18 Secs,28,60,3.44125,2.302,2,54,0,CLICK,ON,BSNL v2.1 UCLA
1009605,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole8_10_20,10-20,8,4,sub,19,1,19user510110-20,(900.6 # 505.15),19.5878,0,Near Miss!!,Tue Sep 20 14:23:06 2011 UTC,Tue Sep 20 14:23:08 2011 UTC,94.12,94.12,2.604,320.667 Secs,29,60,2.604,2.604,0,56,0,CLICK,ON,BSNL v2.1 UCLA
1009619,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole8_10_20,10-20,8,4,sub,12,1,12user510110-20,(151.9 # 502.75),10.7656,0,Miss!!,Tue Sep 20 14:23:13 2011 UTC,Tue Sep 20 14:23:16 2011 UTC,87.66,90.89,2.972,328.506 Secs,30,60,2.788,2.604,0,56,0,CLICK,ON,BSNL v2.1 UCLA
1009632,54,170.185.142.19 ,5101,0,110,whole,Condition-1,uclawhole8_10_20,10-20,8,4,sub,17,1,17user510110-20,(730.6 # 512.4),17.5854,0,Near Miss!!,Tue Sep 20 14:23:21 2011 UTC,Tue Sep 20 14:23:25 2011 UTC,94.15,91.98,3.656,337.03 Secs,31,60,3.077333333,2.604,0,56,0,CLICK,ON,BSNL v2.1 UCLA
